"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\App.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 2, 13
"c:\Users\Maciej\Desktop\vite-template-master\src\PrivateRoute.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 2, 11
"c:\Users\Maciej\Desktop\vite-template-master\src\Router.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 4, 52
"c:\Users\Maciej\Desktop\vite-template-master\src\components\CardMenu\CardMenu.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 8, 53
"c:\Users\Maciej\Desktop\vite-template-master\src\components\CardMenu\CardMenuPlaylistModal.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 19, 112
"c:\Users\Maciej\Desktop\vite-template-master\src\components\ColorSchemeToggle\ColorSchemeToggle.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\GenreModal.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 12, 128
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\Genres.module.css", "CSS", 0, 0, 7, 0, 0, 4, 11
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\Genres.tsx", "TypeScript JSX", 0, 139, 0, 0, 0, 17, 156
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\Headers.module.css", "CSS", 0, 0, 9, 0, 0, 0, 9
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\HeroDiscover.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 4, 23
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\NewReleases.module.css", "CSS", 0, 0, 42, 0, 0, 9, 51
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\NewReleases.tsx", "TypeScript JSX", 0, 136, 0, 0, 0, 13, 149
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\Trending.tsx", "TypeScript JSX", 0, 138, 0, 0, 0, 23, 161
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardHome\Hero.module.css", "CSS", 0, 0, 62, 0, 0, 9, 71
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardHome\Hero.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 4, 29
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardHome\Top10.module.css", "CSS", 0, 0, 42, 0, 0, 9, 51
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardHome\Top10.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 5, 43
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistCardMenu.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 13, 83
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistCreateModal.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 12, 60
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistDeleteConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistHero.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 5, 27
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistModal.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 9, 80
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\Playlists.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 19, 114
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\HeroRecommendation.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 3, 22
